micro;time;excel time;peak;average;RMS
micro;12:03:26.590;44449.50239108797;44.454;31.873;33.687
micro;12:03:26.724;44449.50239263889;44.910;32.156;34.083
micro;12:03:26.916;44449.50239486111;43.046;30.814;32.699
micro;12:03:27.027;44449.502396145836;45.105;31.052;32.993
micro;12:03:27.148;44449.5023975463;42.923;30.311;32.146
micro;12:03:27.290;44449.50239918982;42.212;31.541;33.221
micro;12:03:27.415;44449.50240063657;41.289;29.520;31.491
micro;12:03:27.565;44449.50240237269;42.076;29.409;31.445
micro;12:03:27.673;44449.50240362268;42.923;29.934;31.970
micro;12:03:27.789;44449.50240496528;41.138;28.933;30.785
micro;12:03:27.933;44449.502406631946;40.906;27.892;29.930
micro;12:03:28.054;44449.50240803241;40.424;27.706;29.592
micro;12:03:28.196;44449.50240967593;41.511;28.089;30.184
micro;12:03:28.315;44449.50241105324;41.798;28.666;30.694
micro;12:03:28.432;44449.50241240741;42.734;30.396;32.252
micro;12:03:28.578;44449.502414097224;40.668;29.702;31.530
